Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
The act that required federally-related appraisals to be conducted by a certified appraiser is known as,"the Financial Institutions Reform, Recovery and Enforcement Act (FIRREA)",the Uniform Standards of Professional Appraisal Practice Act (USPAPA),the Appraisal Foundation Authorization and Reform Act (AFAR),the Federal Institution for Regulation and Enforcement of Appraisal Act (FIREAA),1,PREP-AL-16.24,"Title XI of FIRREA requires that competent individuals whose professional conduct is properly supervised perform all appraisals used in federally-related transactions. As of January 1, 1993, such federally-related appraisals must be performed only by state certified appraisers"
"According to ANSI and Fannie Mae standards,  a room whose floor level is six inches below ground level","must be counted as basement area, not living area.",may be included in Gross Living Area if it meets other requirements for living area.,is classified as “below grade.”,cannot be classified as finished space.,2,PREP-AL-16.25,"Gross living area is based on the dimensions of all rooms ""above grade"" as measured from the exterior walls of the premises, including stairwells but excluding ""open areas."" Space should be measured to the inch or to 1/10th of a foot and living areas calculated and totaled. Above grade is defined as above the surface of the ground. Living area below-grade (one foot or more) must be counted as basement area – thus not as 100% living area."
Mortgage financing is the practice of,buying and selling mortgages as an investment vehicle,lending money to real estate investors to finance the purchase of mortgages,using borrowed funds secured by a mortgage or trust deed to purchase real estate,obtaining equitable title to real estate by buying promissory notes,3,PREP-AL-17.1,"When a borrower gives a note promising to repay the borrowed money and executes a mortgage on the real estate for which the money is being borrowed as security, the financing method is called mortgage financing. The term ""mortgage financing"" also applies to real estate loans secured by a deed of trust"
What is a lien-theory state?,A state in which a lienor holds legal title to a secured property,A state in which a mortgage is considered to be a lien against a secured property,A state that allows a real estate owner's creditors to record liens against the owner's property,A state in which a lien is considered as a conveyance,2,PREP-AL-17.2,States differ in their interpretation of who owns mortgaged property. Those that regard the mortgage as a lien held by the mortgagee (lender) against the property owned by the mortgagor (borrower) are called lien-theory states. Those that regard the mortgage document as a conveyance of ownership from the mortgagor to the mortgagee are called title-theory states. Some states interpret ownership of mortgaged property from a point of view that combines aspects of both title and lien theory
What is the function of a note in a mortgage or trust deed financing arrangement?,It is evidence of the lender's interest in the collateral property,It is evidence of ownership of the mortgage or trust deed,It contains the borrower's promise to maintain the value of the property given as collateral for a loan,It is evidence of the borrower's debt to the lender,4,PREP-AL-17.3,A valid mortgage or trust deed financing arrangement requires a note as evidence of the debt
The document that provides evidence that a certain property is pledged as collateral for a loan is the,trust deed or mortgage,promissory note,loan commitment,collateral acknowledgment,1,PREP-AL-17.4,A mortgage is a legal document stating the pledge of the borrower (the mortgagor) to the lender (the mortgagee). The mortgage document pledges the borrower's ownership interest in the real estate in question as collateral against performance of the debt obligation
The borrower in a mortgage loan transaction is known as the,mortgagee,mortgagor,lienor,trustee,2,PREP-AL-17.5,"The mortgagor is the borrower and the mortgagee is the lender. As a memory aid, notice that ""lender"" and ""mortgagee"" both have two ""e""s. ""Mortgagor"" and ""borrower"" both have two ""o""s"
"If a borrower obtains an interest-only loan of $750,000 at an annual interest rate of 8%, what is the monthly interest payment?","$7,200","$6,250",$420,"$5,000",4,PREP-AL-17.6,"$750,000 x 0.08 / 12 = $5,000"
"If a borrower's monthly interest payment on an interest-only loan at an annual interest rate of 9% is $3,750, how much was the loan amount?","$405,000","$500,000","$5,000,000","$465,000",2,PREP-AL-17.7,"$3,750 x 12 / 0.09 = $500,000"
"A borrower of a $950,000 interest-only loan makes annual interest payments of $83,125.  What interest rate is the borrower paying?",8.75%,7.29%.,.729 %.,9.13%,1,PREP-AL-17.8,"$83,125 ÷ $950,000 = .0875 = 8.75%"
How much is a discount point?,.1% of the loan amount,1% of the loan amount,10% of the loan amount,It depends on the interest rate and the loan amount,2,PREP-AL-17.9,"A discount point is one percent of the loan amount. Thus, one point on a $100,000 loan equals $1,000"
Which of the following is true of an amortizing loan?,The amount of annual interest paid is the same for every year of the loan term,Part of each periodic payment is applied to repayment of the loan balance in advance and part is applied to payment of interest in arrears,"Except for any points that may be paid, the interest on the loan balance is usually paid in advance",The interest rate is reduced each year to maintain equal payments even though the outstanding loan balance is smaller,2,PREP-AL-17.10,"In an amortizing loan, part of the principal is repaid periodically along with interest, so that the principal balance decreases over the life of the loan. The annual interest is never the same, since the principal balance to which the interest rate applies changes every year. Interest on a loan is always paid in arrears, not in advance"
"For a loan that is not backed by the Federal Housing Administration or Veterans Administration, and for which the borrower is making a down payment of less than 20%, the lender is likely require the borrower to obtain",a subrogation agreement,private mortgage insurance,a letter of credit,a co-signer on the note,2,PREP-AL-17.11,"The lender may require the borrower to obtain private mortgage insurance, or PMI. Mortgage insurance protects the lender against loss of a portion of the loan (typically 20-25%) in case of borrower default. Private mortgage insurance generally applies to loans that are not backed by the Federal Housing Administration (FHA) or Veterans Administration (VA) and that have a down payment of less than 20% of the property value"
What is a loan-to-value ratio?,The percentage of a lender's portfolio that is composed of mortgage loans,The ratio of borrowed principal plus total interest to the appraised value of the collateral property,The ratio of a lender's return on a mortgage loan to the value of the collateral property,The fraction of the appraised value of the property offered as collateral which the lender is willing to lend,4,PREP-AL-17.12,"The relationship of the loan amount to the property value, expressed as a percentage, is called the loan-to-value ratio, or LTV. If the lender's loan to value ratio is 80%, the lender will lend only $80,000 on a home appraised at $100,000. The difference between what the lender will lend and what the borrower must pay for the property is the amount the borrower must provide in cash as a down payment"
The difference between what a borrower has to pay to purchase a property and the amount a lender will lend on the property is the,loan-to-value ratio,lender's profit margin,buyer's down payment,origination fee,3,PREP-AL-17.13,Price less loan is the down payment. This is also the buyer's initial equity
The Equal Credit Opportunity Act prohibits a lender from,refusing a loan because the property is located in a certain area,including income from self-employment in the borrower's qualifying income,requiring both spouses to sign the loan application form,refusing a loan because a borrower has a defective credit report,1,PREP-AL-17.14,"The Equal Credit Opportunity Act (ECOA) requires a lender to evaluate a loan applicant on the basis of that applicant's own income and credit rating, unless the applicant requests the inclusion of another's income and credit rating in the application. In addition, ECOA has prohibited a number of practices in mortgage loan underwriting, including refusing a loan based on an applicant’s demographic characteristics"
"A loan applicant has an annual gross income of $36,000. How much will a lender allow the applicant to pay for monthly housing expense to qualify for a loan if the lender uses an income ratio of 28%?","$2,160",$840,"$1,008",$720,2,PREP-AL-17.15,"$36,000 x 0.28 / 12 = $840 per month"
"If a lender discovers that an applicant for a mortgage loan has borrowed the down payment from a relative and has to repay that loan, the lender is likely to",refuse the application,adjust the applicant's debt ratio calculation and lower the loan amount,increase the loan amount to enable the borrower to pay off the loan to the relative,require the borrower to make payments to an escrow account for repayment of the relative's loan,2,PREP-AL-17.16,"If someone such as a relative is lending an applicant a portion of the down payment with a provision for repayment, a lender will consider this another debt obligation and adjust the debt ratio accordingly. This can lower the amount a lender is willing to lend"
The Federal Reserve's Regulation Z applies to which loans?,All loans,All loans secured by real estate,All loans secured by a residence,"All loans over $25,000",3,PREP-AL-17.17,"Regulation Z applies to all loans secured by a residence. It does not apply to commercial loans or to agricultural loans over $25,000. Its provisions cover the disclosure of costs, the right to rescind the credit transaction, advertising credit offers, and penalties for non-compliance with the act"
"If a particular loan falls under Regulation Z's right of rescission provision,",the lender has the right to change the terms of the loan within a certain period,the lender has the right to accelerate repayment of the loan because of a change in the borrower's credit status,the borrower has the right to pay off the loan ahead of schedule with no penalty,the borrower has a limited right to cancel the transaction within a certain period,4,PREP-AL-17.18,"A borrower has a limited right to cancel the credit transaction, usually within three days of completion of the transaction. The right of rescission does not apply to ""residential mortgage transactions,"" that is, to mortgage loans used to finance the purchase or construction of the borrower's primary residence. It does, however, apply to refinancing of mortgage loans, and to home equity loans. State law may require a rescission period and notice on first mortgage loan transactions as well"
"Under the Equal Credit Opportunity Act, a lender, or a real estate agent who assists a seller in qualifying a potential buyer, may not",tell a rejected loan applicant the reasons for the rejection,ask the buyer/borrower about his/her religion or national origin,ask the buyer/borrower to explain gaps in his/her employment history,use a credit report if the loan applicant disputes any information in the report,2,PREP-AL-17.19,"ECOA prohibits discrimination in extending credit based on race, color, religion, national origin, sex, marital status, age, or dependency upon public assistance. A creditor may not make any statements to discourage an applicant on the basis of such discrimination or ask any questions of an applicant concerning these discriminatory items. A real estate licensee who assists a seller in qualifying a potential buyer may fall within the reach of this prohibition"
A conventional mortgage loan is one that is,backed by the Federal National Mortgage Association,insured under Section 203(b) of the Federal Housing Administration loan program,guaranteed by the Government National Mortgage Association,not FHA-insured or VA-guaranteed,4,PREP-AL-17.20,"A conventional mortgage loan is a permanent long-term loan that is not FHA-insured or VA-guaranteed. FNMA does not ""back"" loans; FHA only insures FHA loans; and the VA, not GNMA guarantees loans"
The assumability of an FHA-insured loan is,unrestricted,limited by when the loan was originated and by the type of property,limited to owner-occupied properties,prohibited on all existing loans under current regulations,2,PREP-AL-17.21,Rules for assumability vary according to when the FHA-insured loan was originated and whether the original loan was for an investment property or an owner-occupied principal residence
A VA certificate of eligibility determines,whether an individual is a veteran,the maximum loan amount an approved lender can give to veterans,how much of a loan the VA will guarantee,whether a lender is approved to issue VA-guaranteed loans,3,PREP-AL-17.22,A veteran must apply for a Certificate of Eligibility to find out how much the VA will guarantee in a particular situation
"A borrower obtains a 30-year, fully amortizing mortgage loan of $300,000 at 8%.  What is the principal balance at the end of the loan term?","$18,000","$300,000",$220,Zero,4,PREP-AL-17.23,"In a fully amortizing mortgage, the principal balance is zero at the end of the term"
Which of the following describes a purchase money mortgage financing arrangement?,A bank gives a buyer a senior mortgage loan that fully covers the cost of purchasing the property,The buyer gives the seller a mortgage and note as part of the purchase price of the property,A land trust holds title to the property while the buyer makes periodic installment payments to the seller,The seller uses the purchase money obtained from the buyer's mortgage loan to repay the seller's outstanding loan balance,2,PREP-AL-17.24,"With a purchase money mortgage, the borrower gives a mortgage and note to the seller to finance some or all of the purchase price of the property. The seller in this case is said to ""take back"" a note, or to ""carry paper,"" on the property"
"Barry is borrowing 300,000 at 5% for 30 years. The loan constant for this loan is 5.37. What will Barry have to pay for principal and interest each month?",$537,"$1,500","$1,537","$1,611",4,PREP-AL-17.25,"$300,000/1,000 is 300 units times the loan constant of 5.37 = $1,611"
"Barry, from the previous question, is buying a house that appraises for $375,000, but the lender will lend him no more than $300,000, in spite of Barry’s excellent income, debt and credit qualifications. This is most likely because",the lender’s loan-to-value (LTV) ratio is fixed at 80%.,the loan constant determines the maximum loan.,"the lender limits all loans to $300,000.",the lender believes the appraised value is inflated.,1,PREP-AL-17.26,"To protect further against loss, a lender will usually lend only a portion of the property's value. The relationship of the loan amount to the property value, expressed as a percentage, is called the loan-to-value ratio, or LTV. If the lender's loan to value ratio is 80%, the lender will lend only $80,000 on a home appraised at $100,000. The difference between what the lender will lend and what the borrower must pay for the property is the amount the borrower must provide in cash as a down payment."
"When an investment property generates less income than the amount the investor has to pay a lender to finance the investment, the investor suffers from",negative amortization,negative leverage,a reverse mortgage,a debt investment,2,PREP-AL-18.1,"Leveraging is borrowing funds in order to make an investment that is larger than your own resource permits you to do directly. In negative leverage situations, your cost of borrowing funds to make the investment becomes greater than the income the investment returns to you"
An individual buys a small office building as an investment and participates actively in the management and operation of the building. This is an example of,syndication,equity investment,direct investment,illiquidity,3,PREP-AL-18.2,"Individuals, corporations or other investor entities may invest as active investors in a property by buying it directly and taking responsibility for managing and operating the property. This is called a direct investment"
Which of the following best describes a Real Estate Investment Trust?,Investors are partners in an entity that sells pools of mortgages secured by real property,"Investors are general partners who pool cash resources to buy, develop and operate a property",Owners of an income property convey title in the property to a land trust as a tax shield,Investors own shares in a trust that receives 75% of its income from real estate investments,4,PREP-AL-18.3,A trust must receive at least 75% of its income from real estate to qualify as a REIT
Cost recovery is allowed as a federal tax deduction on,principal residences,income properties,land,land and improvements,2,PREP-AL-18.4,"Cost recovery, or depreciation, allows the owner of income property to deduct a portion of the property's value from gross income each year over the life of the asset. Principal residences cannot be depreciated (unless portions are treated as a home office.) Further, land cannot be depreciated"
"A homeowner paid $285,000 for a house three years ago.  The house sells today for $339,000. How much has the property appreciated?",23%,77%,19%,123%,3,PREP-AL-18.5,"Appreciation as a per cent can be estimated by (1) subtracting the estimated current market value from the price originally paid (339,000 - 285,000 = 54,000) and (2) dividing the result by the original price (54,000 / 285,000 = . 19 or 19%)"
The primary tax benefit in owning a non-income property such as a residence is,depreciation of improvements,appreciation of land,a deduction for costs of operating the property,a deduction for mortgage interest,4,PREP-AL-18.6,"Deducting mortgage interest is a significant tax advantage of owning one's residence. Depreciation and cost-deductions do not apply to a non-income producing residence. Appreciation is a benefit, but not a tax benefit"
"A house sold for $350,000.  The seller paid a brokerage commission of six percent, legal fees of $600, and had other closing costs of $3,000.  What are the net proceeds from the sale?","$343,000","$329,000","$346,400","$325,400",4,PREP-AL-18.7,"Amount realized. The amount realized, also known as net proceeds from sale, is expressed by the formula:  sale price - cost of sale = amount realize. Sale price: $350,000. Cost of sale: 6% (350,000 x 0.06 = $21,000) + $600 + $3,000 = $24,600. Net proceeds of sale: $325,400"
"A homeowner bought a house five years ago for $250,000.  Since then, the homeowner has spent $6,000 to pave the driveway and has added a central heating/air-conditioning system at a cost of $10,000.  What is the homeowner's adjusted basis if the house is sold today?","$260,000","$266,000","$256,000","$234,000",2,PREP-AL-18.8,"The beginning basis is the cost of acquiring a property. Basis is increased by capital improvements and decreased by depreciation. The basic formula for adjusted basis is Beginning basis ($250,000) + capital improvements ($6,000 + $10,000) - depreciation ($0) = adjusted basis ($266,000)"
"A homeowner sold her house and had net proceeds of $191,000.  Her adjusted basis in the home was $176,000. She immediately bought another house for $200,000.  What was her capital gain?","$191,000","$9,000","$15,000",None,3,PREP-AL-18.9,"Gain on sale. The gain on sale of a primary residence is represented by the basic formula:  amount realized (net sales proceeds) - adjusted basis = gain on sale.  $191,000 - $176,000 = $15,000"
"After three years of owner-occupancy, a young homeowner sells his principal residence for a gain of $150,000, and the next month buys another principal residence that costs more than the adjusted sale price of the old home.  Which of the following is true of the treatment of the tax on gain?",There is no taxable gain,It must be paid in the year of the sale,The homeowner may choose to pay it or defer it,Tax is due on the difference between the cost of the new home and adjusted basis of the old one,1,PREP-AL-18.10,"There is no taxable gain because the gain falls under the exclusion limit of $250,000. Tax law provides an exclusion of $250,000 for an individual taxpayer and $500,000 for married taxpayers filing jointly on the gain from sale of a principal residence. The seller must have owned the property for at least two years during the five years preceding the date of sale; used the property as principal residence for a total of two years during that five-year period; and have waited two years since the last use of the exclusion for any sale"
Which of the following are limitations on the exclusion of capital gain on the sale of a house?,"The seller is 55 years old, the property is used as a principal residence, and the seller's previously claimed exclusions do not exceed $125,000",The property is owner-occupied and the seller has never claimed an exclusion previously,"The seller must have owned it for two years of the previous five, used it as a principal residence for two years during that period, and not claimed an exclusion in the previous two years",The seller must have owned and occupied it for five years and not claimed an exclusion in the previous year,3,PREP-AL-18.11,"Tax law provides an exclusion of $250,000 for an individual taxpayer and $500,000 for married taxpayers filing jointly. Exclusion of gain from sale of a residence can be claimed every two years, provided the taxpayer:  1. owned the property for at least two years during the five years preceding the date of sale; 2. used the property as principal residence for a total of two years during that five-year period; 3. has waited two years since the last use of the exclusion for any sale"
"Bill Holdfast owns a small retail property that he inherited from his father.  There are no mortgages or interest expenses connected with the property.  Bill takes an annual cost recovery expense of $5,000. The property has a monthly gross income of $1,500 and monthly operating expenses of $500. Bill's taxable income from this property will be taxed at a rate of 24%.  What is the tax liability for the year?","$1,680","$4,320","$3,840","$7,000",1,PREP-AL-18.12,"Annual gross operating income ($1,500 x 12 = $18,000) - annual operating expenses ($500 x 12 = $6,000) = annual net operating income ( $12,000); annual net operating income ($12,000) - cost recovery expense ($5,000) = taxable income ($7,000); taxable income ($7,000) x tax rate (24%) = tax liability ($1,680)"
Which of the following can legally levy real property taxes?,The Internal Revenue Service,A utility company,A tax district,A court of law,3,PREP-AL-19.1,"Real estate property taxes are imposed by ""taxing entities"" or ""taxing districts"" at county and local levels of government. States may legally levy taxes on real property, but most delegate this power to counties, cities, townships and local taxing districts. The federal government does, however, tax income derived from real property and gains realized on the sale of real property"
Certain classes of property owner and types of property are exempted or immune from real property taxation in many areas.  The protected categories usually include,recreational properties,properties owned by a government agency,properties that comply with the Americans with Disabilities Act,properties occupied by single-parent families,2,PREP-AL-19.2,"Certain types of property are exempt from property taxes. Certain classes of property owner may also be exempted or have a reduced liability. Exemptions include government-owned properties, real properties owned by churches, and properties owned by other non-profit organizations"
What is the purpose of an equalization factor in ad valorem taxation?,It modifies a local tax rate to bring it into conformity with statutory tax rates,It changes the assessed value of an individual property to make it reflect the assessed values of other properties in the same neighborhood,It adjusts assessments in a locality to make them more consistent with an average level for the state or other higher level jurisdiction,It adjusts the amount of the homestead exemption in a certain area to make it proportionally equivalent to the average homestead exemption in other areas,3,PREP-AL-19.3,"Equalization factors level out the unevenness of valuations for groups of properties. For instance, if assessed values of properties in one county are consistently ten percent below the average for other counties, an equalization board may multiply each assessed value in that county by a factor of 110% to raise them to the average level for the state"
"To qualify for a homestead exemption, a property owner generally must",reside on the property,have a house on the property,be 55 years old,have children,1,PREP-AL-19.4,A property owner generally qualifies for a homestead exemption by meeting two criteria:  •is head of a family  •resides on the property for a required length of time. Some states also allow a single person to claim the homestead exemption
What is a tax levy?,The total of the assessed values of all real properties within a taxing jurisdiction,The sum of all the taxes a local taxing jurisdiction collects in a tax year,The action a taxing jurisdiction takes to impose a tax,The number of dollars per thousand  of assessed value a property owner must pay in property taxes,3,PREP-AL-19.5,"Taxing entities generate the annual revenues they require by levying taxes on the tax base. The tax rate, or millage rate, determines how much of a tax levy the tax base will receive. The tax rate for each taxing entity is calculated by dividing the amount of revenue required by the tax base. This rate is then applied to the taxable value of each individual real property to determine its tax levy"
"A school district's tax rate is 10 mills.  The school district's required revenue from taxes is $10,000,000.  What is the tax base of the area?","$10,000,000","$100,000,000","$1,000,000,000","$100,000,000,000",3,PREP-AL-19.6,"The mill rate = (tax requirement / the tax base). A mill is one one-thousandth of a dollar ($.001). To solve for the tax base, reconfigure this formula to be: Base = Tax Requirement / Mill Rate. Thus the Base = $10,000,000 / .010, or $1,000,000,000"
"A homeowner receives a tax bill that includes an amount for the library district, taxed at $1.00 per $1,000, and the fire protection district, taxed at $2.00 per $1,000.  How much does the taxpayer have to pay for these two items if the property's taxable value is $470,000?","$15,670","$1,570","$14,100","$1,410",4,PREP-AL-19.7,"$470,000 x 0.003 = $1,410"
"A town is replacing a sidewalk that serves five homes.  The length of the sidewalk is 200 feet.   Mary's property has 38 feet of front footage.  If the cost of the project to be paid by a special assessment is $7,000, what will Mary's assessment be?","$1,400","$1,330",$184,"$1,840",2,PREP-AL-19.8,"$7000 (total cost) / 200 (total length) x 38 (Mary's portion) = $1,330"
What is a tax deed?,A conveyance instrument for a property that is sold to enforce a tax lien,A document recorded in title records showing that property taxes have been paid,A notice to a homeowner that a tax lien has been entered against the property,A document that gives a municipal authority the power to collect an individual tax bill,1,PREP-AL-19.9,A tax deed is a legal instrument for conveying title when a property is sold for non-payment of taxes. The application for a tax deed causes the taxing agency to institute a tax sale or tax foreclosure
The right of a property owner to redeem his or her property after a tax sale is called,a legal right of rescission,an equitable right to acquire title,a right of homestead exclusion,a statutory right of redemption,4,PREP-AL-19.10,"If the taxpayer can redeem the property after the tax sale, this right is known as a statutory right of redemption. In this case, the taxpayer must pay the amount paid by the winning bidder at the tax sale, plus any charges, additional taxes, or interest that may have accumulated"
The fair housing law that first protected people against discrimination in housing based on race was the,Civil Rights Act of 1866,Civil Rights Act of 1968,Executive Order 11063 of 1962,Title VIII amendment to the Fair Housing Act,1,PREP-AL-20.1,"The original fair housing statute, the Civil Rights Act of 1866, prohibits discrimination in housing based on race. The prohibition relates to selling, renting, inheriting, and conveying real estate"
The classes protected against discrimination by the Fair Housing Act of 1968 are,race only,religion and gender only,"race, color, religion, and national origin",age and gender only,3,PREP-AL-20.2,"Title VIII of the Civil Rights Act of 1968, known today as the Fair Housing Act, prohibits discrimination in housing based on race, color, religion, or national origin"
"An agent tells a prospective buyer that a seller will not provide any assistance in financing, when, in fact, seller financing is available.  If the buyer belongs to one of the groups protected by fair housing laws, the agent may be guilty of which type of illegal discrimination?",Steering,Discriminatory misrepresentation,Redlining,Providing unequal services,2,PREP-AL-20.3,"Discriminatory misrepresentation means an agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating"
Which of the following actions represents discriminatory advertising?,Telling prospective buyers about the positive and negative aspects of a certain neighborhood,Telling a prospective seller that now would be a good time to put a property on the market,Advertising a property as available to individuals of a particular race,Telling a prospective buyer that the agent is too busy to show the buyer properties personally on a given day,3,PREP-AL-20.4,The prohibition against discriminatory advertising states that an agent may not advertise residential properties in such a way as to restrict their availability to any prospective buyer or tenant
Which of the following is an example of blockbusting?,An agent shows a minority home buyer properties located in a neighborhood where there are no other minority home owners,An agent persuades a minority home buyer to avoid looking in a neighborhood where there are no minority home owners,An agent persuades a family to put their house on the market because ethnic minority families are beginning to move into the neighborhood,An agent persuades a minority home buyer to buy a property located in an area where most of the home owners belong to minority groups,3,PREP-AL-20.5,"Blockbusting, a prohibited activity, is the practice of inducing owners in an area to sell or rent to avoid an impending change in the ethnic or social makeup of the neighborhood that will cause values to go down"
What is the significance of the Jones v. Mayer Supreme Court decision?,It provides that anyone seeking to buy or rent a residential property who feels victimized by racial discrimination may take legal action under the 1866 Civil Rights Act,It allows for certain exemptions to the Title VIII prohibitions against discrimination provided there is no broker involved in the sale or lease transaction,It established that brokers and lenders must indicate their compliance with fair housing laws by displaying a standard HUD poster,"It added gender, age, and family status to the groups protected against discrimination in housing",1,PREP-AL-20.6,"In 1968, the Supreme Court ruled in Jones v. Mayer that all discrimination in selling or renting residential property based on race is prohibited under the provisions of the Civil Rights Act of 1866. Thus, while the Federal Fair Housing Act exempts certain kinds of discrimination, anyone who feels victimized by discrimination based on race may seek legal recourse under the 1866 law"
"A home seller tells the listing agent that he will not consider any offers from minority buyers.  A cooperating broker wants to show the home to a minority buyer, but learns from the listing agent of the seller's instructions.  The cooperating broker then informs the buyer that he cannot show that home to him.  The buyer subsequently asks to be shown only houses that are in minority neighborhoods.  Which parties in this scenario are probably liable for violating fair housing laws?",The seller only,The seller and the listing agent only,"The seller, the listing agent, and the cooperating broker",All four parties,3,PREP-AL-20.7,"Fair housing laws apply to home sellers as well as to agents, with the exception of the exemptions. If an agent goes along with a client's discriminatory act, the agent is equally liable for violation of fair housing laws. It is thus imperative to avoid complicity with client discrimination. Further, an agent should withdraw from any relationship where client discrimination occurs"
The practice of redlining is specifically prohibited by,The Home Mortgage Disclosure Act,The Real Estate Settlement Procedures Act,The Civil Rights Act of 1866,The Americans with Disabilities Act,1,PREP-AL-20.8,"The Home Mortgage Disclosure Act requires lenders involved with federally guaranteed or insured loans to exercise impartiality and non-discrimination in the geographical distribution of their loan portfolio. In other words, the act is designed to prohibit redlining, the practice of restricting loans by geographical area"
Title VIII of the Civil Rights Act of 1968 applies to the sale of,all single-family residences,all privately owned single-family residences,privately owned single-family residences listed with a broker,"privately owned single-family residences ""for sale by owner.""",3,PREP-AL-20.9,"Among the circumstances where the Fair Housing Act might allow for an exemption is: a privately owned single-family home where no broker is used, with certain additional conditions. In other words, as soon as a broker is used in the sale, the law applies"
"A broker signs a listing agreement to sell a home for $100,000.  An immigrant couple are interested in the house and ask the agent the price.  The agent states the price as $110,000.  According to the fair housing laws, such an action is","illegal, because the agent changed the terms of the sale to discourage this particular couple","illegal, because the agent violated the listing agreement","legal, because the quoted price increase did not exceed 10% of the listing price","legal, because the increased price does not necessarily exclude the couple",1,PREP-AL-20.10,"The Fair Housing Act prohibition against discriminatory misrepresentation states that an agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating"
Which of the following actions is allowed under federal fair housing laws?,"A broker, following the instructions of the seller, advertises the property as for sale to Christian families only","A home seller, acting without a broker, places a ""for sale-- mature, single men only"" sign in front of the house","The owner of four rental houses advertises one of the properties for rent ""to married couples, no children, no pets.""",The owner of a duplex who resides in one of the units refuses to rent the other unit to a non-Christian,4,PREP-AL-20.11,The Fair Housing Act would exempt the owner in this situation because it involves rental of an apartment in a 1-4 unit building where the owner is also an occupant and there is no discriminatory advertising
May Southfeldt believes a real estate agent has kept her from seeing a certain property for rent because she is a woman.  What actions should she take if she wants legal satisfaction for her complaint?,File charges of illegal discrimination with the police department that has jurisdiction over the local area,File a complaint with HUD and/or file suit against the offending parties in a state or federal court within the prescribed time period,Wait two years and then file a civil suit in federal court,File a civil suit in federal court to force HUD to enforce the Fair Housing Amendments Act of 1988,2,PREP-AL-20.12,"The Fair Housing Amendments Act of 1988 prohibits discrimination based on sex. If May feels she has been discriminated against in this way, she may file a complaint with the Office of Fair Housing and Equal Opportunity (OFHEO) in HUD within one year or file suit in a federal or state court within two years of the alleged violation"
"John Dunbar hires Betty Jones to sell his house, with the condition that he will not be the first one in the neighborhood to sell to members of a certain ethnic group.  What should Betty do about this condition?",Inform Dunbar that the condition is illegal and that she cannot comply with it,Note the condition on the listing agreement and have Dunbar initial it,Pretend that she did not hear the condition and proceed to market the property to all groups,"Inform Dunbar that she will try to discourage members of that group from looking at the property, but that she cannot control cooperating brokers",1,PREP-AL-20.13,"Fair housing laws apply to home sellers as well as to agents, with the exception of the exemptions. If an agent goes along with a client's discriminatory act, the agent is equally liable for violation of fair housing laws. It is thus imperative to avoid complicity with client discrimination. Further, an agent should withdraw from any relationship where client discrimination occurs"
"Under federal fair housing laws, the owner of a ten-unit apartment building may legally",advertise that the property is not available to anyone requiring wheelchair access,refuse to rent to aliens,require families without children to pay the same security deposit that families with children must pay,require tenants to move out when they become 62 years old,3,PREP-AL-20.14,"Fair housing laws prohibit discriminatory advertising, discrimination on the basis of national origin, discrimination based on age in dwellings of more than four units, and discrimination against families with children. The fact that the owner is requiring the same deposit from tenants with and without children does not discriminate against families with children but actually favors them"
Under what conditions would federal fair housing laws allow a home owner to refuse to rent to a family because they have children?,The owner has a consistent no-children policy in all her rental properties,The owner can prove that costs to repair damage caused by previous tenants with children exceeded the tenants' security deposit,It is a single-family house that is part of a federally-designated planned unit development,"It is a single-family house, and the owner owns only one other rental home in addition to his own residence",4,PREP-AL-20.15,Federal fair housing laws do not prohibit age and family status discrimination in residential dwellings of four units or less and in single family houses if sold or rented by owners who have no more than three houses
Which of the following is a material fact about property condition that must be disclosed to a property buyer?,A registered violent offender lives in the neighborhood,The listing agent has a negative view of the property,The seller is a notorious felon,There is no homeowners’ association,2,PREP-AL-20.16,"Material facts include:  the agent's opinion of the property's condition; adverse facts about property condition, title defects, environmental hazards, and property defects"
A certain house for sale was built in 1997.  The seller and seller’s agent must be sure to disclose to buyers that,the house probably contains lead paint hazards,the house definitely contains urea formaldehyde insulation,the house was built in 1997,the house’s water supply is not protected by the Safe Drinking Water Act,3,PREP-AL-20.17,The date a house was built is a material fact that must be disclosed if asked.  The rest are subjective and have to be proven before being shared with a buyer
What is the purpose of a home warranty?,Protect the lender against loss of collateral,Protect the homeowner against costs arising from major system failures,Provide funds to rebuild the home in case of natural disaster,Ensure the lender that the homeowner will make mortgage payments,2,PREP-AL-20.18,"Home warranties, or home service contracts, cover service, repair, or replacement of a home's major systems and appliances"
"If there is cause to believe a property for sale has been contaminated in some way,  the transaction parties would be wise to",have an environmental site assessment performed,begin Phase 4 remediation immediately,ask the local government for an environmental impact statement,contact the local health department,1,PREP-AL-20.19,"An environmental site assessment (ESA) may be conducted to identify environmental impairments and protect parties against becoming involved in contamination issues. Such assessments are performed in three phases. A Phase 1 ESA identifies potential problems on or near the subject property. A Phase 2 ESA involves active testing of soil, water, and other components of the subject property"
