Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
A buydown is a financing arrangement where,the lender lowers the interest rate on a loan in exchange for a prepayment of principal,the borrower pays additional interest at the onset in order to obtain a lower interest rate,the lender requires the borrower to buy down the price of the property by increasing the down payment,the borrower pays the lender additional funds to buy down the term of the loan,2,PREP-AL-STD-17.28,A buydown loan entails a prepayment of interest on a loan. The prepayment effectively lowers the interest rate and the periodic payments for the borrower
The key feature of an adjustable mortgage loan is that,the interest rate may vary,the monthly payment increases over the life of the loan,the principal balance does not amortize,the loan term can be shortened or lengthened,1,PREP-AL-STD-17.29,Adjustable rate mortgages (ARMs) allow the lender to change the interest rate at specified intervals and by a specified amount. Federal regulations place limits on incremental interest rate increases and on the total amount by which the rate may be increased over the loan term
One feature of a wraparound mortgage loan is that,the loan is a senior loan,the seller offering the buyer a wraparound can profit from a difference in interest rates,the underlying loan must be retired,the second mortgage borrower may make payments directly to the first mortgage lender,2,PREP-AL-STD-17.30,"In a wraparound loan arrangement, the seller receives a junior mortgage from the buyer, and uses the buyer's payments to make the payments on the original first mortgage"
A builder is required to secure a loan with mortgages on three properties. This is an example of,a participation mortgage loan,a blanket mortgage loan,a permanent mortgage loan,a bridge loan,2,PREP-AL-STD-17.31,"A blanket mortgage is secured by more than one property, such as multiple parcels of real estate in a development"
Which of the following is true of a loan with negative amortization?,The loan is an interest-only loan,Payments are not sufficient to retire the loan,"The loan balance is diminishing, or going negative",Additional interest is being added to the monthly payment,2,PREP-AL-STD-17.32,Negative amortization causes the loan balance to increase over the term. This occurs if the borrower's periodic payment is insufficient to cover the interest owed for the period. The lender adds the amount of unpaid interest to the borrower's loan balance
"Hopeful homeowner Henry has an eye on a house valued at $600,000. His lender’s LTV is 80%. How much cash will Henry need to put in for a downpayment?","$80,000","$120,000","$360,000","$480,000",2,PREP-AL-STD-17.33,"$600,000 times 20% (100% - the 80% for the loan) for the downpayment is $120,000."
"A bank is offering Henry a 30-year loan of $300,000 at a rate of 4.5%. The loan constant for this loan is 5.07. How much will Henry have to pay for monthly principal and interest?","1,251","1,521","1,957","5,917",2,PREP-AL-STD-17.34,"300 ($300,000 / 1,000) times the loan constant of 5.07 is $1,521 for PI each month."
"Mary is paying $1,800 per month in principal and interest on a 20-year loan at 4% interest but can’t remember how much she originally borrowed. The loan constant is 6.06. Can you help?","284,360","297,030","310,001","376,569",2,PREP-AL-STD-17.35,"$1,800 per month divided by the loan constant of 6.06 is 297.03.  Multiple 297.03 by 1,000 to get the loan value of $297,030."
"All investors desire their investments to increase in value. However,",the degree of return is inversely related to the degree of risk,"the more the investor stands to gain, the greater the risk that the investor may lose",investments requiring intense management have lesser returns,"the more liquid an investment is, the greater the chances are that the investment will not appreciate",2,PREP-AL-STD-18.1,"The general rule in investments is that the safer the investment, the more slowly it gains in value. The more you want it to gain, and the more quickly, the more you must risk losing it. Reward in investing corresponds directly to the degree of risk"
Two of the rewards that investments offer are,income and tax benefits,negative leverage and appreciation,appreciation and taxation,positive leverage and prestige,1,PREP-AL-STD-18.2,"The basic financial rewards of an investment include income, appreciation in asset value, positive borrowing leverage, and tax benefits"
An investor invests in fifteen diversified bond funds. This is an example of an investment in,money,equity,debt,real estate,3,PREP-AL-STD-18.3,"A debt investment is one in which an investor buys a debt instrument. Examples are bonds, notes, mortgages, and bond mutual funds. The basic reward comes in the form of interest. Debt investments are usually riskier than money investments and less risky than stocks or real estate"
"A real estate investment can take a long period of time to sell. For the investor, this means that real estate is",management intensive,insensitive to marketing,vulnerable to seller's markets,relatively illiquid,4,PREP-AL-STD-18.4,Real estate is by nature more difficult to convert to cash than many other types of investment. Compare the selling of a home with the ease of drawing money out of a bank account or selling a stock
"Compared to a stock portfolio, a real estate investment would be considered",a riskier investment,a more management-intensive investment,a shorter-term investment,a more leveraged investment,2,PREP-AL-STD-18.5,"Real estate tends to require a high degree of investor involvement in management of the investment. Even raw land requires some degree of maintenance to preserve its value. Improved properties often require extensive management, including repairs, maintenance, onsite leasing, tenant relations, security, and fiscal management"
"Six investors purchase a shopping center. One investor manages the tenants and another handles the marketing and leasing. Two investors manage accounting and finance, and the remaining two run the management office. This is a possible example of",a general partnership,a limited partnership,a real estate investment trust,an investment conduit,1,PREP-AL-STD-18.6,A general partnership is a syndicate in which all members participate equally in managing the investment and in the profits or losses it generates
Taxable income produced by an income property is,gross income minus expenses plus land and building depreciation,gross income minus expenses minus land and building depreciation,gross income minus building depreciation plus land depreciation,gross income minus expenses minus building depreciation,4,PREP-AL-STD-18.7,"Taxable income from investment real estate is the gross income received minus any expenses, deductions or exclusions that current tax law allows. Depreciation of land is not allowed"
"As a general rule, in deriving taxable income on an investment property, it is legal to",deduct principal and interest payments from income,deduct principal payments from income,deduct interest payments from income,deduct principal and interest payments from income and capital gain,3,PREP-AL-STD-18.8,Taxable income is net operating income minus all allowable deductions. The interest portion of debt service is allowed and is deducted from Net Operating Income as interest expense. Principal repayment is not an allowable deduction on investment properties. Capital gain derivation does not involve interest or principal payments
Which of the following is true of the tax treatment of a principal residence?,The owner may deduct the property's interest and principal from ordinary income,The owner may depreciate the property and deduct depreciation expenses,The owner can deduct any capital gain when the property is sold,The owner may be able to exclude capital gain from taxable income when the property is sold,4,PREP-AL-STD-18.9,"When real estate, whether non-income or income, is sold, a taxable event occurs. If the sale proceeds exceed the original cost of the investment, subject to some adjustments, there is a capital gain that is subject to tax. Tax law provides an exclusion of $250,000 for an individual taxpayer and $500,000 for married taxpayers filing jointly. The exclusion of gain from sale of a residence can be claimed every two years, provided the taxpayer:  1. owned the property for at least two years during the five years preceding the date of sale;  2. used the property as principal residence for a total of two years during that five-year period;  3. has waited two years since the last use of the exclusion for any sale"
"An investment property seller pays $14,000 in closing costs. These costs",may be deducted from personal income,may be deducted from the property's income,may be deducted from the sale price for gains tax purposes,may be deducted from the adjusted basis for gains tax purposes,3,PREP-AL-STD-18.10,"Selling costs include such expenses as brokerage commissions, relevant advertising, legal fees, seller-paid points and other closing costs. These costs are deducted from the selling price to get the amount realized, which is reduced by the adjusted basis to calculate gain on sale for gains tax purposes"
Capital gain tax is figured by multiplying one's tax bracket times,the sum of the beginning basis plus gain,the difference between net sale proceeds and adjusted basis,the sum of net sale proceeds and capital gain,the difference between net sale proceeds and capital gain,2,PREP-AL-STD-18.11,"The IRS defines gain on the sale of a home as amount realized from the sale minus the adjusted basis of the home sold. The amount realized, also known as net proceeds from sale, is expressed by the formula: sale price - cost of sale = amount realized"
Cash flow is a measure of how much pre-tax or after-tax cash an investment property generates. To derive cash flow it is therefore necessary to exclude,cost recovery expense,interest expense,loan principal payments,net operating income,1,PREP-AL-STD-18.12,"Cash flow is the difference between the amount of actual cash flowing into the investment as revenue and out of the investment for expenses, debt service, and all other items. Cash flow concerns cash items only, and therefore excludes depreciation (cost recovery), which is not a cash expense"
One way investors measure the yield of an investment is by,dividing net operating income by cash flow,multiplying the investor's required yield times after-tax cash flow,dividing cash flow by the investor's equity,multiplying cash flow times the price paid for the property,3,PREP-AL-STD-18.13,cash flow ÷ equity = return on equity (ROE)
Which of the following is true with respect to real property taxation by the federal government?,It may impose ad valorem property taxes and capital gain tax,It may not impose property taxes nor tax liens,There are no federal ad valorem taxes on real property,"It may impose ad valorem tax, but not capital gain tax",3,PREP-AL-STD-19.1,"There are no federal taxes on real property. The Constitution of the United States specifically prohibits such taxes. The federal government does, however, tax income derived from real property and gains realized on the sale of real property"
"According to law, states",may not levy real estate taxes,may not impose tax liens,may delegate taxing authority to county governments,"may prevent federal taxation of real estate within their respective jurisdictions, if properly legislated",3,PREP-AL-STD-19.2,"States may legally levy taxes on real property, but most delegate this power to counties, cities, townships and local taxing districts"
The role of local tax districts is to,"levy income, sales, and property taxes to meet their budget requirements",manage their budgeted portion of real estate tax revenues levied and distributed by the state,impose property taxes for specific municipal services,place tax liens on its facilities,3,PREP-AL-STD-19.3,County and local governments establish tax districts to collect funds for providing specific services
A special tax district might be created to,construct and manage a park district,create a two-mile extension of county sewer facilities,establish and maintain a public library,create a fire department,2,PREP-AL-STD-19.4,"A special assessment is a tax levied against specific properties that will benefit from a public improvement. Common examples are assessments for sidewalks, water service and sewers. Special assessments are based on the cost of the improvement and apportioned on a pro rata basis among benefiting properties according to the value that each parcel will receive from the improvement"
Ad valorem taxes are based on,the replacement value of property,the assessed value of property,the millage value of property,the broker's estimate of value,2,PREP-AL-STD-19.5,"General property taxes are levied on an ad valorem basis, meaning that they are based on the assessed value of the property. Assessed value is determined according to state law, usually by a county or township assessor or appraiser"
The ad valorem tax base of a municipal jurisdiction is equal to,the jurisdiction's annual budget times the tax rate,the total of all assessed values of properties minus exemptions,the total amount of ad valorem taxes required by the budget,the municipality's budget multiplied times the millage rate,2,PREP-AL-STD-19.6,"The tax base of an area is the total of the appraised or assessed values of all real property within the area's boundaries, excluding partially or totally exempt properties:  tax base = assessed values - exemptions"
"As part of the assessment process, many taxing entities utilize equalization boards in order to",adjust millage rates within the district to ensure fairness,modify the tax rate from one neighborhood to the next,ensure that property owners have nearly equal tax bills,smooth out wide discrepancies of assessed values within the district,4,PREP-AL-STD-19.7,Some taxing bodies recognize that local assessments can lead to unfairly high or low values for properties in certain areas. Therefore the jurisdiction may establish equalization factors to level out the unevenness of valuations
A homeowner receives a tax bill that she feels is outrageous. This taxpayer may,appeal to adjust the millage rate,appeal to adjust the district's budget,appeal to adjust the assessed valuation,not appeal,3,PREP-AL-STD-19.8,"Property owners may object to the assessed value of their property, but not to the tax rate. An owner usually has a certain period to protest after receiving notice of the assessed value. According to local law, a property owner must present evidence that the assessor made an error to a review board or appeal board"
The purpose of a homestead tax exemption is,to exempt qualified property owners from ad valorem taxation,to offer an amount of tax relief on an owner's principal residence,to encourage multiple property investment,to exempt owners of principal residences who rent their properties,2,PREP-AL-STD-19.9,Some states exempt a portion of the value of the homestead from judgments to protect families against eviction by creditors
A millage rate is derived by,dividing the tax requirement by the tax base,multiplying the tax base times the tax requirement,adding an inflation factor to the prior year's tax rate,dividing the tax base by the tax requirement,1,PREP-AL-STD-19.10,tax requirement ÷ tax base = tax rate (millage rate)
A homeowner's total tax bill is derived by,dividing the tax requirement by the tax base,multiplying each district's tax rate times the assessed value of the property,multiplying each district's tax rate times the taxable value of the property,"averaging the tax rate for each tax district, and multiplying the average tax rate times the assessed value",3,PREP-AL-STD-19.11,Each property owner's tax bill is determined by multiplying the tax rate for each taxing district times the taxable value of the property. Taxable value is the assessed value after all exemptions and adjustments have been taken into account
A unique characteristic of a special assessment tax is that,it only applies to properties which will benefit from the public improvement,the equalization board discounts levies for properties not affected by the public improvement,more valuable properties which stand to benefit will pay proportionately more taxes,it creates an involuntary junior lien on the property,1,PREP-AL-STD-19.12,A special assessment is a tax levied against specific properties that will benefit from a public improvement
A tax certificate,certifies to tax collectors that a property owner has paid all ad valorem taxes on the property for the calendar year,entitles its holder to apply for a tax deed after a certain period,exempts its holder from paying taxes on the particular property referenced by the certificate,waives a property owner's rights of redemption in a foreclosure,2,PREP-AL-STD-19.13,"After a period of time specified by law, the holder of the tax certificate on a property may then apply for a tax deed"
An equitable right of redemption,allows a holder of a tax certificate to redeem it for a tax deed,gives a delinquent taxpayer a grace period prior to the tax sale to pay property taxes,gives a holder of a tax deed the right to acquire the property named in the tax certificate,gives a delinquent taxpayer a grace period after the tax sale to pay property taxes,2,PREP-AL-STD-19.14,"If the taxpayer can redeem the property by paying the delinquent taxes and any other charges before the tax sale occurs, this right is known as an equitable right of redemption"
The principal theme of federal fair housing laws is to,ensure all Americans a fair chance to own a home,prohibit discrimination in housing transactions,ensure that housing transactions are negotiated fairly,prohibit agents from dealing unfairly with clients and customers,2,PREP-AL-STD-20.1,Federal and state governments have enacted laws prohibiting discrimination in the national housing market
"It is illegal to discriminate in selling a house based on race, color, religion, or national origin. This is provided for through",the Civil Rights Act of 1866,Executive Order 11063,the Civil Rights Act of 1968,the Fair Housing Amendments Act of 1988,3,PREP-AL-STD-20.2,"Title VIII of the Civil Rights Act of 1968, known today as the Fair Housing Act, prohibits discrimination in housing based on race, color, religion, or national origin"
"Which of the following laws or rulings extended discrimination to include gender, handicapped status, and family status?",Executive Order 11063,the Civil Rights Act of 1968,the Fair Housing Amendments Act of 1988,Jones v Mayer,3,PREP-AL-STD-20.3,"The Fair Housing Amendments Act of 1988 prohibited discrimination based on sex and discrimination against handicapped persons and families with children. Executive Order 11063 concerned racial discrimination in housing where federal funding was involved; the Civil Rights Act of 1968 concerned discrimination based on race, color, religion, and national origin; Jones v Mayer concerned racial discrimination"
"An agent informs numerous families in a neighborhood that several minority families are planning to move into the immediate area, and that the trend could have adverse effects on property values. This activity is",blockbusting,legal but unprofessional redlining,discriminatory misrepresentation,negligent misrepresentation,1,PREP-AL-STD-20.4,Blockbusting is the practice of inducing owners in an area to sell or rent to avoid an impending change in the ethnic or social makeup of the neighborhood that will cause values to go down
A minority family would like to buy a home in a certain price range. The agent shows the family all available properties in a neighborhood of families with similar backgrounds. The agent did not mention a number of homes in the family's price range in other neighborhoods. This agent could be liable for,blockbusting,providing unequal services,steering,nothing; his services were legal and acceptable,3,PREP-AL-STD-20.5,"Steering is the practice of directly or indirectly channeling customers toward or away from homes and neighborhoods. Broadly interpreted, steering occurs if an agent describes an area in a subjective way for the purpose of encouraging or discouraging a buyer about the suitability of the area"
"An agent does not like a particular minority buyer, and is very short with the person, refusing to engage in lengthy conversation or show him any properties. A second minority party visits the office the next day. The agent is very forthcoming, and shows the person five prospective properties. This agent could be liable for",providing unequal services,steering,misrepresentation,"nothing; both parties were minorities, and therefore no discrimination occurred",1,PREP-AL-STD-20.6,"The agent may be illegally providing unequal services by altering the nature or quality of brokerage services to a party based on race, color, sex, national origin, or religion"
"Following the client's recommendation, an agent conceals the availability of a property from an employed but pregnant and unmarried minority woman. This agent could be liable for",discriminatory misrepresentation,steering,violating fiduciary duty,nothing: an agent may show or not show any property at his or her discretion,1,PREP-AL-STD-20.7,"Discriminatory misrepresentation means an agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating"
A condominium complex prohibits ownership of any unit by persons under 55 years of age. The association claims it has made the prohibition properly. Which of the following is true?,They are violating the Civil Rights Act of 1866,They are violating the Fair Housing Amendments Act of 1988,They are guilty of age discrimination,The prohibition may be legal,4,PREP-AL-STD-20.8,"Federal fair housing laws do not prohibit age and family status discrimination under the following circumstances:  •in government-designated retirement housing  •in a retirement community if all residents are 62 years of age or older  •in a retirement community if 80 % of the dwellings have one person who is 55 years of age or older, provided there are amenities for elderly residents  •in residential dwellings of four units or less, and single family houses if sold or rented by owners who have no more than three houses"
"An owner suddenly pulls a property off the market after hearing from the agent on the phone that the agent had received a full-price offer from a minority party. The agent then informs the offeror that the home has been removed from the market and is unavailable. Which party or parties, if any, have violated fair housing laws?",The agent only,The owner only,The agent and the owner,Neither agent nor owner,3,PREP-AL-STD-20.9,"The owner has illegally discriminated, and the agent, by going along with the owner, is equally guilty of violating fair housing laws"
Real estate trade associations promote a code of ethics primarily to establish,minimum standards of practice as imposed by law,fair housing law,high standards of practice for all facets of the business,grounds for license revocation,3,PREP-AL-STD-20.10,Trade associations representing the real estate industry have instituted their own codes of ethics and professional practices covering every facet of brokerage activity. The standards of most of these codes concern the following general areas of practice
The parts of the Americans with Disabilities Act that most concern real estate agents are those that deal with,telecommunications and insurance,public accommodations and employment,state and local government,agency and public service,2,PREP-AL-STD-20.11,Real estate practitioners are most likely to encounter Titles I and III and should acquire familiarity with these.  Title I (Employment) concerns equal employment opportunity. It is enforced by the U.S. Equal Employment Opportunity Commission.  Title III (Public Accommodations) concerns nondiscrimination in public accommodations and commercial facilities. It is enforced by the U.S. Department of Justice
"If a licensee knows a negative material fact about a client’s property that the client has not disclosed, the licensee must",keep the fact confidential,report the seller to the local real estate board,disclose the information to others,change the seller’s disclosure form,3,PREP-AL-STD-20.12,"The residential property re-seller must comply with the property condition disclosure requirement whether an agent is employed in the transaction or not. If an agent is involved in the transaction, the agent must disclose any and all material facts he or she knows or should reasonably know about the property, regardless of what the seller may have disclosed on the form"
How does CERCLA concern real estate agents?,It may cause them to be held liable for improper disclosure of potential violations,It requires them to conduct Phase II Environmental Site Assessments,It makes them subject to Environmental Protection Agency orders,It absolves them of any responsibility for  knowing about environmental hazards,1,PREP-AL-STD-20.13,"Under CERCLA and the Superfund Amendment of 1986, current landowners as well as previous owners of a property may be held liable for environmental violations, even if “innocent” of a violation. Sellers often carry the greatest exposure, and real estate licensees may be held liable for improper disclosure"
Which of the following is a fact about home warranties that an agent should be sure a client knows?,"If the homeowner has paid an annual fee for the warranty, there are no additional charges for service",Conditions that pre-existed the coverage date of the warranty will not be covered,Any item that is not specifically excluded in the warranty contract may be assumed to be covered,Warranties are usually purchased to cover the full term of the mortgage loan,2,PREP-AL-STD-20.14,"Purchasers of home warranties need to fully understand their coverage limitations in order to have realistic expectations of the warranty. Similarly, it is important for a homeowner to understand what may not be covered in the warranty. These items include conditions that existed prior to the effective coverage of the warranty"
What is an agent’s duty regarding inspections?,Personally conduct a detailed inspection of all major structures and systems,Accompany all inspectors as they inspect the agent’s listed property,"Disclose the result of any inspection, if known to the agent",Interview and hire inspectors for clients,3,PREP-AL-STD-20.15,"Most states require disclosure of known material facts regarding residential properties of one to four units. If a licensee knows the result of an inspection, this is a material fact to be disclosed"
The purpose of the closing event is to,confirm that the buyer has fulfilled all contract requirements prior to title transfer immediately after closing,ensure that the seller has marketable title before monies are transferred,conclude the process for loan approval,exchange legal title for the sale price,4,PREP-AL-STD-21.1,"The closing process consists of buyer and seller verifying that each has fulfilled the terms of the sale contract. If they have, then the mortgage loan, if any, is closed, all expenses are apportioned and paid, the consideration is exchanged for the title, final documents are signed, and arrangements are made to record the transaction according to local laws"
"A buyer's financing arrangements are often concluded at closing, because",lenders do not fund loans unless title is being transferred,the lender wants to ensure proper handling of the collateral for the loan,the loan term must coincide with title transfer,the deed will be held as collateral for the loan,2,PREP-AL-STD-21.2,"A lender is concerned about the quality of the collateral a borrower is providing in return for the mortgage loan. The collateral would be endangered by defects in the title, by liens that would take precedence over the mortgage lien, such as a tax lien, and by physical damage to the property which is not repaired. Consequently, the lender typically requires a survey; a property inspection; hazard insurance; a title insurance policy; a reserve account for taxes and insurance; and possibly, private mortgage insurance. In some cases the lender may also require a certificate of occupancy verifying that any new construction performed complies with local building codes"
The Real Estate Settlement Procedures Act prescribes closing procedures that must be followed whenever,"a first, second, or third mortgage lien is involved",the loan is to be sold to the FNMA,the buyer pays all cash for the property,the property is a residential complex in excess of four units,2,PREP-AL-STD-21.3,"RESPA specifies certain closing procedures when a purchase is being financed by a ""federally-related"" mortgage loan, which includes loans made by a federally-insured lender; loans insured or guaranteed by the VA or FHA, loans administered by HUD, and loans intended to be sold to FNMA, FHLMC, or GNMA"
"A sale contract stipulates that a buyer is to pay the seller's title insurance expenses. This practice is not customary in the area. In this case,",the buyer and seller must amend the contract before closing,"the contract is voidable, since the seller must pay the expense","the buyer may pay or not pay the expense, at his or her option",the buyer must pay the expense,4,PREP-AL-STD-21.4,"Explicit agreements in the sale contract supercede traditional expense-payment responsibilities, which can vary from state to state"
A prorated expense on the settlement statement is,a debit to the buyer and seller,a credit to the buyer and seller,a debit and credit to the buyer and seller,a debit to one party and a credit to the other,4,PREP-AL-STD-21.5,A prorated item is treated as a debit to one party and a credit to the other party for the same amount
The amount a buyer owes at closing is equal to,the excess of the buyer's debits over the buyer's credits,the excess of the buyer's credits over the buyer's debits,the excess of the seller's debits over the seller's credits,the excess of the seller's credits over the seller's debits,1,PREP-AL-STD-21.6,The excess of the buyer's debits over the buyer's credits is the amount the buyer must bring to the closing
Which of the following are examples of closing items not prorated between buyer and seller?,Taxes and rents,Inspection fees,Utilities and hazard insurance,Condominium assessments and special assessment payments,2,PREP-AL-STD-21.7,Inspection fees are usually paid in full by the seller
Which of the following items are paid in arrears?,Taxes and insurance,Rents and interest,Taxes and interest,Rents and insurance,3,PREP-AL-STD-21.8,"At the time of closing, the seller has incurred certain expenses that have not been billed or paid at the time of closing and that the buyer will have to pay later. Typical items are real estate taxes, utility bills and interest on an assumed mortgage"
Which of the following items are paid in advance?,Taxes and insurance,Rents and interest,Insurance and interest,Rents and insurance,4,PREP-AL-STD-21.9,"At the time of closing, the seller has paid some items in advance that cover a period of time that goes beyond the closing date. In effect, the seller has prepaid some of the buyer's expenses, and the buyer must reimburse the seller. Hazard and flood insurance premiums are typical items. By the same token, the seller of a rental property may have received rent or rental deposits in advance, and must reimburse the buyer for the part that belongs to the buyer"
"If a sale contract indicates that the day of closing is ""the seller's day,"" this means that",the seller must pay prorated expenses inclusive of the day of closing,the seller does not own the property on the day of closing,the seller may elect the proration method on the day of closing,the seller must pay the buyer's portion of prorated expenses instead of the seller's portion,1,PREP-AL-STD-21.10,It is customary in most states that the seller owns the property up to and including the day of closing unless stated otherwise in the contract. Thus the closing day is apportioned to the seller in computing prorations
Documentary stamps are used to,document the procedures employed to close a transaction,document the payment of a transfer tax,certify that a transaction was recorded,mail closing documents to principal parties after closing,2,PREP-AL-STD-21.11,"Most states impose a transfer tax when real estate is conveyed. The tax is usually paid when the deed is recorded, often in the form of documentary stamps purchased from the recorder where the deed is recorded. The stamps must be attached to deeds and conveyances before they are recorded"
What is the Internal Revenue Service's Form 1099-S?,The buyer's and seller's capital gain form,A form that summarizes and reports transaction data from a closing,A form brokers must submit if the buyer or seller is a foreigner,A lender's tax form showing that a loan was funded for a buyer,2,PREP-AL-STD-21.12,The person reporting files a Form 1099-S information return with the Internal Revenue Service. This form includes the names and addresses of the parties to the transaction and information about the sale proceeds
"Assume a seller at closing must pay transfer taxes at the rate of $1.00 for every $500 of purchase price, or fraction thereof. If the sale price is $345,600, how much tax must the seller pay?",$69.12,$70.00,$691,$692,4,PREP-AL-STD-21.13,"Methods of stating the transfer tax due include quoting the tax as a percentage of the taxable consideration and as a dollar rate per $100.00 of total selling price. If the number of 100's is not a whole number, it must be rounded up to the next 100. For instance, if a property sells for $345,600 and the tax rate is $1.00 per $500.00 ""or any fraction thereof,"" the tax stamps will cost:  345,600 ÷ 500.00 = 691.20. 691.20 rounded up = 692. 692 x $1.00 = $692"
"If a seller paid $488 for transfer taxes at closing, and the rate was $1.00 for every $400 or fraction thereof of the sale price, what was the sale price?","$195,500","$1,950,000","$195,200","$1,952,000",3,PREP-AL-STD-21.14,"$488 x $400 = $195,200"
"Of the following risk management strategies, the one that aims at minimizing both the severity and the likelihood of loss is",avoidance,reduction,transference,retention,2,PREP-AL-STD-22.1,"Reduction involves taking steps to reduce the probability or the severity of a potential loss. In real estate practice, one risk reduction tactic is to share responsibility for making a decision. The agent provides the consumer with expertise, and perhaps some advice, but lets the consumer decide how much to offer"
Insurance is a method of,risk elimination,risk mitigation,risk outsourcing,risk acceptance,3,PREP-AL-STD-22.2,"Transference (outsourcing, insuring) means passing the risk to another party, by contract or other means. An insurance policy is the common example, but sometimes the wording of a sales or personal services contract can transfer risk without resorting to insurance"
How does disclosure manage risk?,It deflects and reduces risk by preventing others from claiming they were misled,It eliminates the risk of committing an error,It accepts the risk of revealing confidential information,It transfers the risk of a code violation to the client,1,PREP-AL-STD-22.3,"By ensuring that all parties have the information they are entitled to, proper disclosure reduces the risk that clients and customers will accuse a licensee of misleading or inducing them to make a decision with incomplete information"
Which of the following statements about a company procedures manual as a risk management device is true?,It places all the responsibility for compliance on the broker,It relieves the licensee of responsibility for knowing and obeying the law,It can be a guide to compliance with the law,It adds to the risk of misleading the public,3,PREP-AL-STD-22.4,Adherence to a procedures manual reduces the risk that an individual will inadvertently commit an unlawful act
In what sense is the use of standardized forms a risk management procedure?,It eliminates the risk of being unable to draft a contract correctly,It reduces the risk of losing a client by having to make a referral to an attorney,It reduces the risk of committing an unauthorized practice of law,It eliminates the risk of wasting valuable time in creating custom forms,3,PREP-AL-STD-22.5,"Standard forms save time and protect against the unauthorized practice of law. Since they are most often prepared by lawyers familiar with the market area, they can address contingencies that are common in the area in a manner that reflects the real estate laws of the state"
"Keeping thorough records of every transaction is not only a risk management technique, it is",good for company morale,necessary for obtaining market share,a technique for discovering market trends,a legal requirement,4,PREP-AL-STD-22.6,State laws require licensees to document transactions. Firms are required to keep written records of all real estate transactions for a number of years (usually three to five) after closing or termination
Which of the following communication records must (as opposed to should) be kept?,Notes on every conversation,Copies of required communications to principals,Notes from company training sessions,Business cards of licensees one meets at open houses,2,PREP-AL-STD-22.7,"Some communications with transaction parties are good and necessary for business. Others are required by law, and records of them must be maintained for a statutory period. Required records typically include listing agreements, offers, contracts, closing statements, agency agreements, disclosure documents, correspondence and other communication records, notes and any other relevant information"
The standard E & O policy covers damages resulting from,failure to disclose an environmental condition,antitrust violations,mishandling of earnest money deposits,"negligence, error or omission in carrying out professional services",4,PREP-AL-STD-22.8,"A standard E&O policy provides coverage for “damages resulting from any negligent act, error or omission arising out of Professional Services.”"
Which of the following is a common risk relating to the agency relationship?,Failing to inform and disclose properly,Failing to take a personal interest in a transaction,Acting as an exclusive agent without an oral agency agreement,Forgetting to record the listing agreement,1,PREP-AL-STD-22.9,"Agency risks commonly concern the requirement to inform and disclose. Most states require agency relationships to be in writing and to be disclosed to all parties to a transaction. In states that do not use agency, there is still the obligation to explain and disclose the nature of the relationship"
"Even after giving buyer and seller the required information about property condition disclosures, the licensee may still be subject to legal action for",failing to detect customer misrepresentations,failing to disclose known adverse facts,relying on publicly available market information,advising the purchaser to exercise due diligence,2,PREP-AL-STD-22.10,"Depending on the state, the licensee may have no further duty to disclose property condition after properly informing parties of their rights and obligations. However, the licensee may still be subject to legal action for failing to disclose adverse facts the licensee knew about or should have known about"
"In performing a comparative market analysis, a licensee must be careful to","use the term ""market value"" whenever possible in the report",show a low suggested selling price to avoid a complaint of misrepresenting the value,include the results of a certified appraisal in the analysis,avoid creating a false impression that the licensee is a certified appraiser,4,PREP-AL-STD-22.11,"In preparing a Comparative Market Analysis, licensees should guard against using the terms “appraisal” and “value,” which are reserved for the use of certified appraisers. Misuse of these terms could lead to a charge of misrepresenting oneself as an appraiser. In discussing listed properties with clients or customers, real estate licensees should be careful to use guarded terms such as “recommended listing price,” “recommended purchase price,’ and “recommended listing price range.”"
"In fulfilling a listing agreement, one of the major risk areas is",finding a buyer who turns out to be unqualified,exceeding the authority of the agreement,showing the property without the presence of the owner,cooperating with other licensees,2,PREP-AL-STD-22.12,Licensees should stay within the bounds of the authority granted by the agency agreement or must not do anything requiring permission without first getting that permission in writing
A simple way of reducing the risk of committing an error or omission in the contracting process is,"use a checklist of all items, contingencies, dates and responsibilities that must be met",delegate some of your responsibilities to the licensee who represents the other party in the contract,call the buyer and seller daily to check on progress,cut the list of necessary tasks down to a few essentials and concentrate on tracking those,1,PREP-AL-STD-22.13,"One way to reduce risk in the contracting process is to use a checklist that covers all the contract items such as inclusions and exclusions, contingency periods, documents, forms, data checking, and milestone dates"
"Regarding contracts and forms,",once written and signed they cannot be changed except by a lawyer,real estate licensees may alter forms but not contracts,whoever originates them can make changes without the risk of unauthorized practice of law,the principals may make changes as long as they sign or initial each change,4,PREP-AL-STD-22.14,"Real estate professionals who are not attorneys are usually limited to filling in blanks or making deletions on a preprinted contract form prepared by a lawyer. While a licensee may make deletions, additions to a form should be drafted by an attorney. The principals themselves can make changes as long as each change is signed or initialed by all signers"
The best way to minimize the risk of violating fair housing laws is to,deal only with consumers who do not belong to a protected class,obtain education in the content and intent of the laws,make sure there is always a witness present at all meetings with consumers,stay away from transactions involving public housing,2,PREP-AL-STD-22.15,The risk of violating fair housing laws can be minimized through ongoing education that addresses both the content and the intent of the laws
